1010,17223,"Wien,Innere Stadt"
1020,17224,"Wien,Leopoldstadt"
1030,17225,"Wien,Landstraße"
1040,17226,"Wien,Wieden"
1050,17227,"Wien,Margareten"
1060,17228,"Wien,Mariahilf"
1070,17229,"Wien,Neubau"
1080,17230,"Wien,Josefstadt"
1090,17231,"Wien,Alsergrund"
1100,"17232, 17226","Wien,Favoriten, Wien,Wieden"
1110,17233,"Wien,Simmering"
1120,"17234, 17245","Wien,Meidling, Wien,Liesing"
1130,17235,"Wien,Hietzing"
1140,"17236, 6714, 6709, 6722","Wien,Penzing, Mauerbach, Weidlingbach, Purkersdorf"
1150,17237,"Wien,Rudolfsheim-Fünfhaus"
1160,"17236, 17238","Wien,Penzing, Wien,Ottakring"
1170,"17239, 6709","Wien,Hernals, Weidlingbach"
1180,"17241, 17240","Wien,Döbling, Wien,Währing"
1190,"17241, 6708","Wien,Döbling, Weidling"
1200,17242,"Wien,Brigittenau"
1210,"17243, 4096","Wien,Floridsdorf, Langenzersdorf"
1220,17244,"Wien,Donaustadt"
1230,"17245, 17234, 5158","Wien,Liesing, Wien,Meidling, Perchtoldsdorf"
1300,6726,Mannswörth
2000,"4133, 4090, 4112, 4120, 4132","Unterzögersdorf, Zissersdorf, Oberzögersdorf, Oberolberndorf, Stockerau"
2002,"4065, 4067, 4072, 4068, 4064, 4069, 4073, 4070, 4071","Geitzendorf, Großmugl, Roseldorf, Herzogbirbaum, Füllersdorf, Nursch, Steinabrunn, Ottendorf, Ringendorf"
2003,"4100, 4098, 4132, 4099, 4107","Wollmannsberg, Leitzersdorf, Stockerau, Wiesen, Haselbach"
2004,"4105, 4108, 4109, 4106","Bruderndorf, Niederhollabrunn, Streitdorf, Niederfellabrunn"
2011,"4123, 4124, 4097, 4117, 4118, 4125, 4119, 4121, 4122","Unterhautzental, Untermallebarn, Hatzenbach, Höbersdorf, Oberhautzental, Unterparschenbrunn, Obermallebarn, Senning, Sierndorf"
2013,"3768, 3769, 3816, 3823, 3873, 3758, 3751, 3872, 3746, 3760, 3874, 3759","Furth, Großstelzendorf, Obergrub, Porrau, Viendorf, Göllersdorf, Eitzersthal, Untergrub, Bergau, Schönborn, Wischathal, Oberparschenbrunn"
2014,"3748, 3747, 3793, 3749, 3865","Kleedorf, Breitenwaida, Hollabrunn, Puch, Dietersdorf"
2020,"3796, 3867, 3764, 3793, 3798, 3868, 3756, 3815, 3761, 3795, 3749, 3794, 3797, 3745, 3762, 3765, 3766, 3866","Raschala, Wolfsbrunn, Schöngrabern, Hollabrunn, Kleinstelzendorf, Suttenbrunn, Kleinstetteldorf, Oberfellabrunn, Mittergrabern, Mariathal, Puch, Magersdorf, Wieselsfeld, Aspersdorf, Obergrabern, Windpassing, Groß, Sonnberg"
2022,"3877, 3881","Immendorf, Schalladorf"
2023,"3813, 3809, 3812, 3880","Nappersdorf, Haslach, Kleinweikersdorf, Oberstinkenbrunn"
2024,3800,Mailberg
2031,"3752, 3753, 3757, 3793","Altenmarkt im Thale, Eggendorf im Thale, Weyerburg, Hollabrunn"
2032,"4066, 3754, 3755, 5033","Glaswein, Enzersdorf im Thale, Kleinkadolz, Oedenkirchenwald"
2033,"3808, 3810, 3811","Dürnleis, Kammersdorf, Kleinsierndorf"
2034,"5043, 5042","Großharras, Diepolz"
2041,"3876, 3879, 3778, 3882, 3777, 3875","Hetzmannsdorf, Maria Roggendorf, Hart, Wullersdorf, Aschendorf, Grund"
2042,"3875, 3878, 3771, 3763, 3772","Grund, Kalladorf, Großnondorf, Ober-Steinabrunn, Guntersdorf"
2051,"3887, 3888, 3883, 3886, 3884","Watzelsdorf, Zellerndorf, Deinzendorf, Platt, Dietmannsdorf"
2052,"3820, 3821, 3818","Pernersdorf, Pfaffendorf, Karlsdorf"
2053,"3781, 3819, 3822","Jetzelsdorf, Peigarten, Ragelsdorf"
2054,"3782, 3744, 3780, 3779","Kleinhaugsdorf, Alberndorf im Pulkautal, Haugsdorf, Auggenthal"
2061,"3775, 3773, 3774","Untermarkersdorf, Hadres, Obritz"
2062,"3856, 3855","Seefeld, Großkadolz"
2063,5044,Zwingendorf
2064,5139,Wulzeshofen
2070,"3841, 3840, 3839, 3842, 3843","Unternalb, Retz, Obernalb, Mitterretzbach, Oberretzbach"
2073,"3852, 3854, 3885, 3853","Obermarkersdorf, Waitzendorf, Pillersdorf, Schrattenthal"
2074,"3844, 3837, 3838","Unterretzbach, Kleinhöflein, Kleinriedenthal"
2081,"3814, 3786, 4041","Niederfladnitz, Hofern, Oberfladnitz"
2082,"3776, 3807","Hardegg, Merkersdorf"
2083,"3846, 3850, 3848","Heufurth, Waschbach, Pleissing"
2084,"4040, 4047, 4045, 4046, 4048, 4044, 4043","Fronsburg, Untermixnitz, Rassingdorf, Starrein, Weitersfeld, Prutzendorf, Obermixnitz"
2091,"3984, 4042, 3985","Hessendorf, Oberhöflein, Langau"
2092,"3845, 3849, 3847","Felling, Riegersburg, Mallersbach"
2093,"3952, 3957, 3961, 3953, 3956, 3951","Geras, Pfaffenreith, Trautmannsdorf, Goggitsch, Kottaun, Fugnitz"
2094,"3931, 6465, 3932, 3927, 3960, 3930, 6491","Zettlitz, Eibenstein, Zissersdorf, Pingendorf, Sieghartsreith, Wollmersdorf, Unterpfaffendorf"
2095,"3923, 3926, 3922, 3924, 3929, 6489, 3921, 3925, 6481, 3928","Drosendorf Stadt, Oberthürnau, Drosendorf Altstadt, Elsern, Wolfsbach, Trabersdorf, Autendorf, Heinrichsreith, Primmersdorf, Unterthürnau"
2100,"4049, 4095, 4131, 4101, 4134, 4096","Bisamberg, Korneuburg, Stetten, Leobendorf, Tresdorf, Langenzersdorf"
